

================================================================================
=== START AI RESPONSE LOG | File: POJK 1 Tahun 2024 Kualitas Aset Bank Perekonomian Rakyat.md | Time: 2026-06-24 00:19:54 ===
================================================================================
--- METADATA EXTRACTION RESULT ---
Peraturan Otoritas Jasa Keuangan Nomor 1 Tahun 2024 tentang Kualitas Aset Bank Perekonomian Rakyat|POJK|11 Januari 2024
----------------------------------

--- CYCLE 1 OUTPUT ---
Ketentuan|1|Pasal 1|Dalam Peraturan Otoritas Jasa Keuangan ini, yang dimaksud dengan:|Cukup jelas.|1|1|Bank Perekonomian Rakyat yang selanjutnya disingkat BPR adalah jenis bank konvensional yang dalam kegiatannya tidak memberikan jasa dalam lalu lintas giral secara langsung.
Ketentuan|1|Pasal 1|Dalam Peraturan Otoritas Jasa Keuangan ini, yang dimaksud dengan:|Cukup jelas.|2|2|Aset adalah aset produktif dan aset nonproduktif.
Ketentuan|1|Pasal 1|Dalam Peraturan Otoritas Jasa Keuangan ini, yang dimaksud dengan:|Cukup jelas.|3|3|Aset Produktif adalah penyediaan dana BPR dalam mata uang rupiah untuk memperoleh penghasilan, dalam bentuk kredit, surat berharga, penempatan pada bank lain, dan penyertaan modal.
Ketentuan|1|Pasal 1|Dalam Peraturan Otoritas Jasa Keuangan ini, yang dimaksud dengan:|Cukup jelas.|4|4|Penempatan pada Bank Lain adalah penempatan dana BPR pada bank lain dalam bentuk giro, tabungan, deposito, sertifikat deposito, kredit yang diberikan, dan penempatan dana lainnya yang sejenis.
Ketentuan|1|Pasal 1|Dalam Peraturan Otoritas Jasa Keuangan ini, yang dimaksud dengan:|Cukup jelas.|5|5|Surat Berharga adalah surat berharga yang diterbitkan oleh Bank Indonesia, Pemerintah, atau Pemerintah Daerah.
Ketentuan|1|Pasal 1|Dalam Peraturan Otoritas Jasa Keuangan ini, yang dimaksud dengan:|Cukup jelas.|6|6|Kredit adalah penyediaan dana atau tagihan yang dapat dipersamakan dengan itu, berdasarkan persetujuan atau kesepakatan pinjam-meminjam antara BPR dan pihak peminjam yang mewajibkan pihak peminjam untuk melunasi utangnya setelah jangka waktu tertentu dengan pemberian bunga termasuk pengalihan piutang.
Ketentuan|1|Pasal 1|Dalam Peraturan Otoritas Jasa Keuangan ini, yang dimaksud dengan:|Cukup jelas.|7|7|Penyertaan Modal adalah penanaman dana BPR dalam bentuk saham pada lembaga penunjang BPR dengan persyaratan sesuai dengan ketentuan peraturan perundang-undangan.
Ketentuan|1|Pasal 1|Dalam Peraturan Otoritas Jasa Keuangan ini, yang dimaksud dengan:|Cukup jelas.|8|8|Aset Nonproduktif adalah agunan yang diambil alih, properti terbengkalai, dan tagihan BPR yang timbul akibat pihak lawan tidak memenuhi kewajiban kepada BPR.
Ketentuan|1|Pasal 1|Dalam Peraturan Otoritas Jasa Keuangan ini, yang dimaksud dengan:|Cukup jelas.|9|9|Agunan Yang Diambil Alih selanjutnya disingkat AYDA adalah aset yang diperoleh BPR baik sebagian atau seluruhnya dengan cara pembelian melalui pelelangan maupun di luar pelelangan berdasarkan penyerahan secara sukarela oleh pemilik agunan atau berdasarkan kuasa untuk menjual di luar lelang dari pemilik agunan, dalam hal debitur tidak memenuhi kewajiban kepada BPR dengan ketentuan agunan yang dibeli untuk dicairkan secepatnya.
Ketentuan|1|Pasal 1|Dalam Peraturan Otoritas Jasa Keuangan ini, yang dimaksud dengan:|Cukup jelas.|10|10|Properti Terbengkalai adalah aset tetap dalam bentuk properti yang dimiliki BPR namun tidak digunakan untuk kegiatan usaha BPR yang berkaitan operasional BPR.
Ketentuan|1|Pasal 1|Dalam Peraturan Otoritas Jasa Keuangan ini, yang dimaksud dengan:|Cukup jelas.|11|11|Penyisihan Penilaian Kualitas Aset yang selanjutnya disingkat PPKA adalah penyisihan yang dihitung sebesar persentase tertentu berdasarkan kualitas Aset untuk keperluan perhitungan kewajiban penyediaan modal minimum BPR.
