

================================================================================
=== START AI RESPONSE LOG | File: POJK 1 Tahun 2024 Kualitas Aset Bank Perekonomian Rakyat.md | Time: 2026-06-24 12:36:12 ===
================================================================================
--- METADATA EXTRACTION RESULT ---
PERATURAN OTORITAS JASA KEUANGAN REPUBLIK INDONESIA NOMOR 1 TAHUN 2024 TENTANG KUALITAS ASET BANK PEREKONOMIAN RAKYAT|POJK|10 Januari 2024
----------------------------------

--- CYCLE 1 OUTPUT ---
Bab I|1|Pasal 1|Dalam Peraturan Otoritas Jasa Keuangan ini, yang dimaksud dengan:|Cukup jelas.|1|1|Bank Perekonomian Rakyat yang selanjutnya disingkat BPR adalah jenis bank konvensional yang dalam kegiatannya tidak memberikan jasa dalam lalu lintas giral secara langsung.
Bab I|1|Pasal 1|Dalam Peraturan Otoritas Jasa Keuangan ini, yang dimaksud dengan:|Cukup jelas.|2|2|Aset adalah aset produktif dan aset nonproduktif.
Bab I|1|Pasal 1|Dalam Peraturan Otoritas Jasa Keuangan ini, yang dimaksud dengan:|Cukup jelas.|3|3|Aset Produktif adalah penyediaan dana BPR dalam mata uang rupiah untuk memperoleh penghasilan, dalam bentuk kredit, surat berharga, penempatan pada bank lain, dan penyertaan modal.
Bab I|1|Pasal 1|Dalam Peraturan Otoritas Jasa Keuangan ini, yang dimaksud dengan:|Cukup jelas.|4|4|Penempatan pada Bank Lain adalah penempatan dana BPR pada bank lain dalam bentuk giro, tabungan, deposito, sertifikat deposito, kredit yang diberikan, dan penempatan dana lainnya yang sejenis.
Bab I|1|Pasal 1|Dalam Peraturan Otoritas Jasa Keuangan ini, yang dimaksud dengan:|Cukup jelas.|5|5|Surat Berharga adalah surat berharga yang diterbitkan oleh Bank Indonesia, Pemerintah, atau Pemerintah Daerah.
Bab I|1|Pasal 1|Dalam Peraturan Otoritas Jasa Keuangan ini, yang dimaksud dengan:|Cukup jelas.|6|6|Kredit adalah penyediaan dana atau tagihan yang dapat dipersamakan dengan itu, berdasarkan persetujuan atau kesepakatan pinjam-meminjam antara BPR dan pihak peminjam yang mewajibkan pihak peminjam untuk melunasi utangnya setelah jangka waktu tertentu dengan pemberian bunga termasuk pengalihan piutang.
Bab I|1|Pasal 1|Dalam Peraturan Otoritas Jasa Keuangan ini, yang dimaksud dengan:|Cukup jelas.|7|7|Penyertaan Modal adalah penanaman dana BPR dalam bentuk saham pada lembaga penunjang BPR dengan persyaratan sesuai dengan ketentuan peraturan perundang-undangan.
Bab I|1|Pasal 1|Dalam Peraturan Otoritas Jasa Keuangan ini, yang dimaksud dengan:|Cukup jelas.|8|8|Aset Nonproduktif adalah agunan yang diambil alih, properti terbengkalai, dan tagihan BPR yang timbul akibat pihak lawan tidak memenuhi kewajiban kepada BPR.
Bab I|1|Pasal 1|Dalam Peraturan Otoritas Jasa Keuangan ini, yang dimaksud dengan:|Cukup jelas.|9|9|Agunan Yang Diambil Alih selanjutnya disingkat AYDA adalah aset yang diperoleh BPR baik sebagian atau seluruhnya dengan cara pembelian melalui pelelangan maupun di luar pelelangan berdasarkan penyerahan secara sukarela oleh pemilik agunan atau berdasarkan kuasa untuk menjual di luar lelang dari pemilik agunan, dalam hal debitur tidak memenuhi kewajiban kepada BPR dengan ketentuan agunan yang dibeli untuk dicairkan secepatnya.
Bab I|1|Pasal 1|Dalam Peraturan Otoritas Jasa Keuangan ini, yang dimaksud dengan:|Cukup jelas.|10|10|Properti Terbengkalai adalah aset tetap dalam bentuk properti yang dimiliki BPR namun tidak digunakan untuk kegiatan usaha BPR yang berkaitan operasional BPR.
Bab I|1|Pasal 1|Dalam Peraturan Otoritas Jasa Keuangan ini, yang dimaksud dengan:|Cukup jelas.|11|11|Penyisihan Penilaian Kualitas Aset yang selanjutnya disingkat PPKA adalah penyisihan yang dihitung sebesar persentase tertentu berdasarkan kualitas Aset untuk keperluan perhitungan kewajiban penyediaan modal minimum BPR.
Bab I|1|Pasal 1|Dalam Peraturan Otoritas Jasa Keuangan ini, yang dimaksud dengan:|Cukup jelas.|12|12|Cadangan Kerugian Penurunan Nilai yang selanjutnya disingkat CKPN adalah penyisihan yang dibentuk atas penurunan nilai instrumen keuangan sesuai standar akuntansi keuangan.
Bab I|1|Pasal 1|Dalam Peraturan Otoritas Jasa Keuangan ini, yang dimaksud dengan:|Cukup jelas.|13|13|Kewajiban Penyediaan Modal Minimum yang selanjutnya disingkat KPMM adalah rasio modal terhadap aset tertimbang menurut risiko yang wajib disediakan oleh BPR sesuai dengan Peraturan Otoritas Jasa Keuangan mengenai kewajiban penyediaan modal minimum dan pemenuhan modal inti minimum bank perkreditan rakyat.
Bab I|1|Pasal 1|Dalam Peraturan Otoritas Jasa Keuangan ini, yang dimaksud dengan:|Cukup jelas.|14|14|Direksi adalah direksi bagi BPR berbentuk badan hukum perseroan terbatas, perusahaan umum daerah, perusahaan perseroan daerah, perusahaan daerah, atau pengurus bagi BPR berbentuk badan hukum koperasi.
Bab I|1|Pasal 1|Dalam Peraturan Otoritas Jasa Keuangan ini, yang dimaksud dengan:|Cukup jelas.|15|15|Dewan Komisaris adalah dewan komisaris bagi BPR berbentuk badan hukum perseroan terbatas, komisaris bagi BPR berbentuk badan hukum perusahaan perseroan daerah, dewan pengawas bagi BPR berbentuk badan hukum perusahaan umum daerah dan perusahaan daerah, serta pengawas bagi BPR berbentuk badan hukum koperasi.
Bab I|1|Pasal 1|Dalam Peraturan Otoritas Jasa Keuangan ini, yang dimaksud dengan:|Cukup jelas.|16|16|Nasabah Debitur yang selanjutnya disebut Debitur adalah nasabah yang memperoleh fasilitas Kredit atau yang dipersamakan dengan itu berdasarkan perjanjian BPR dengan nasabah yang bersangkutan.
Bab I|1|Pasal 1|Dalam Peraturan Otoritas Jasa Keuangan ini, yang dimaksud dengan:|Cukup jelas.|17|17|Restrukturisasi Kredit adalah upaya perbaikan yang dilakukan BPR dalam kegiatan perkreditan terhadap Debitur yang mengalami kesulitan untuk memenuhi kewajibannya.
Bab II|2|Pasal 2 ayat 1|BPR wajib mengelola Aset berdasarkan prinsip kehati-hatian.|Ayat (1) Prinsip kehati-hatian dalam pengelolaan Aset khususnya Kredit antara lain dilakukan berdasarkan analisis kelayakan usaha dengan memperhatikan paling sedikit faktor 5C's yaitu watak (character), kemampuan (capacity), modal (capital), agunan (collateral) dan prospek usaha Debitur (condition of economy).||
--- CYCLE 2 OUTPUT ---
